timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764561351018,22,3. Get Cars,200,OK,100 Concurrent Users 1-23,text,true,,82328,195,1,1,http://localhost:5000/api/cars?limit=100,21,0,1
1764561351054,32,1. Get Flights,200,OK,100 Concurrent Users 1-24,text,true,,101995,189,1,1,http://localhost:5000/api/flights?limit=100,31,0,1
1764561351086,30,2. Get Hotels,200,OK,100 Concurrent Users 1-24,text,true,,97440,197,1,1,http://localhost:5000/api/hotels?limit=100,30,0,1
1764561351116,21,3. Get Cars,200,OK,100 Concurrent Users 1-24,text,true,,82328,195,1,1,http://localhost:5000/api/cars?limit=100,21,0,1
1764561351154,44,1. Get Flights,200,OK,100 Concurrent Users 1-25,text,true,,101995,189,1,1,http://localhost:5000/api/flights?limit=100,44,0,1
1764561351199,29,2. Get Hotels,200,OK,100 Concurrent Users 1-25,text,true,,97440,197,1,1,http://localhost:5000/api/hotels?limit=100,29,0,1
1764561351229,21,3. Get Cars,200,OK,100 Concurrent Users 1-25,text,true,,82328,195,1,1,http://localhost:5000/api/cars?limit=100,21,0,1
1764561351255,35,1. Get Flights,200,OK,100 Concurrent Users 1-26,text,true,,101995,189,1,1,http://localhost:5000/api/flights?limit=100,34,0,1
1764561351291,32,2. Get Hotels,200,OK,100 Concurrent Users 1-26,text,true,,97440,197,1,1,http://localhost:5000/api/hotels?limit=100,31,0,1
1764561351324,23,3. Get Cars,200,OK,100 Concurrent Users 1-26,text,true,,82328,195,1,1,http://localhost:5000/api/cars?limit=100,23,0,2
1764561351355,30,1. Get Flights,200,OK,100 Concurrent Users 1-27,text,true,,101995,189,1,1,http://localhost:5000/api/flights?limit=100,30,0,1
1764561351386,30,2. Get Hotels,200,OK,100 Concurrent Users 1-27,text,true,,97440,197,1,1,http://localhost:5000/api/hotels?limit=100,29,0,1
1764561351416,20,3. Get Cars,200,OK,100 Concurrent Users 1-27,text,true,,82328,195,1,1,http://localhost:5000/api/cars?limit=100,20,0,1
1764561351454,32,1. Get Flights,200,OK,100 Concurrent Users 1-28,text,true,,101995,189,1,1,http://localhost:5000/api/flights?limit=100,31,0,1
1764561351486,36,2. Get Hotels,200,OK,100 Concurrent Users 1-28,text,true,,97440,197,1,1,http://localhost:5000/api/hotels?limit=100,35,0,1
1764561351523,23,3. Get Cars,200,OK,100 Concurrent Users 1-28,text,true,,82328,195,1,1,http://localhost:5000/api/cars?limit=100,22,0,1
1764561351556,31,1. Get Flights,200,OK,100 Concurrent Users 1-29,text,true,,101995,189,1,1,http://localhost:5000/api/flights?limit=100,31,0,1
1764561351587,35,2. Get Hotels,200,OK,100 Concurrent Users 1-29,text,true,,97440,197,1,1,http://localhost:5000/api/hotels?limit=100,35,0,1
1764561351623,25,3. Get Cars,200,OK,100 Concurrent Users 1-29,text,true,,82328,195,1,1,http://localhost:5000/api/cars?limit=100,25,0,1
1764561351656,31,1. Get Flights,200,OK,100 Concurrent Users 1-30,text,true,,101995,189,1,1,http://localhost:5000/api/flights?limit=100,31,0,1
1764561351687,32,2. Get Hotels,200,OK,100 Concurrent Users 1-30,text,true,,97440,197,1,1,http://localhost:5000/api/hotels?limit=100,32,0,1
1764561351720,22,3. Get Cars,200,OK,100 Concurrent Users 1-30,text,true,,82328,195,1,1,http://localhost:5000/api/cars?limit=100,21,0,0
1764561351755,28,1. Get Flights,200,OK,100 Concurrent Users 1-31,text,true,,101995,189,1,1,http://localhost:5000/api/flights?limit=100,28,0,0
1764561351783,26,2. Get Hotels,200,OK,100 Concurrent Users 1-31,text,true,,97440,197,1,1,http://localhost:5000/api/hotels?limit=100,26,0,1
1764561351810,23,3. Get Cars,200,OK,100 Concurrent Users 1-31,text,true,,82328,195,1,1,http://localhost:5000/api/cars?limit=100,22,0,1
1764561351865,32,1. Get Flights,200,OK,100 Concurrent Users 1-32,text,true,,101995,189,1,1,http://localhost:5000/api/flights?limit=100,32,0,2
1764561351898,38,2. Get Hotels,200,OK,100 Concurrent Users 1-32,text,true,,97440,197,1,1,http://localhost:5000/api/hotels?limit=100,37,0,1
1764561351936,27,3. Get Cars,200,OK,100 Concurrent Users 1-32,text,true,,82328,195,2,2,http://localhost:5000/api/cars?limit=100,26,0,1
1764561351956,44,1. Get Flights,200,OK,100 Concurrent Users 1-33,text,true,,101995,189,1,1,http://localhost:5000/api/flights?limit=100,44,0,2
1764561352001,33,2. Get Hotels,200,OK,100 Concurrent Users 1-33,text,true,,97440,197,1,1,http://localhost:5000/api/hotels?limit=100,33,0,0
1764561352034,20,3. Get Cars,200,OK,100 Concurrent Users 1-33,text,true,,82328,195,1,1,http://localhost:5000/api/cars?limit=100,20,0,1
1764561352055,33,1. Get Flights,200,OK,100 Concurrent Users 1-34,text,true,,101995,189,1,1,http://localhost:5000/api/flights?limit=100,33,0,0
1764561352089,29,2. Get Hotels,200,OK,100 Concurrent Users 1-34,text,true,,97440,197,1,1,http://localhost:5000/api/hotels?limit=100,28,0,1
1764561352118,21,3. Get Cars,200,OK,100 Concurrent Users 1-34,text,true,,82328,195,1,1,http://localhost:5000/api/cars?limit=100,21,0,1
1764561352155,33,1. Get Flights,200,OK,100 Concurrent Users 1-35,text,true,,101995,189,1,1,http://localhost:5000/api/flights?limit=100,32,0,1
1764561352188,33,2. Get Hotels,200,OK,100 Concurrent Users 1-35,text,true,,97440,197,1,1,http://localhost:5000/api/hotels?limit=100,32,0,1
1764561352221,42,3. Get Cars,200,OK,100 Concurrent Users 1-35,text,true,,82328,195,2,2,http://localhost:5000/api/cars?limit=100,42,0,2
1764561352256,39,1. Get Flights,200,OK,100 Concurrent Users 1-36,text,true,,101995,189,1,1,http://localhost:5000/api/flights?limit=100,38,0,2
1764561352296,37,2. Get Hotels,200,OK,100 Concurrent Users 1-36,text,true,,97440,197,1,1,http://localhost:5000/api/hotels?limit=100,37,0,1
1764561352334,29,3. Get Cars,200,OK,100 Concurrent Users 1-36,text,true,,82328,195,2,2,http://localhost:5000/api/cars?limit=100,29,0,1
1764561352354,46,1. Get Flights,200,OK,100 Concurrent Users 1-37,text,true,,101995,189,1,1,http://localhost:5000/api/flights?limit=100,45,0,1
1764561352400,48,2. Get Hotels,200,OK,100 Concurrent Users 1-37,text,true,,97440,197,1,1,http://localhost:5000/api/hotels?limit=100,48,0,1
1764561352449,33,3. Get Cars,200,OK,100 Concurrent Users 1-37,text,true,,82328,195,2,2,http://localhost:5000/api/cars?limit=100,32,0,1
1764561352455,48,1. Get Flights,200,OK,100 Concurrent Users 1-38,text,true,,101995,189,1,1,http://localhost:5000/api/flights?limit=100,48,0,1
1764561352503,44,2. Get Hotels,200,OK,100 Concurrent Users 1-38,text,true,,97440,197,1,1,http://localhost:5000/api/hotels?limit=100,44,0,1
1764561352548,31,3. Get Cars,200,OK,100 Concurrent Users 1-38,text,true,,82328,195,2,2,http://localhost:5000/api/cars?limit=100,31,0,1
1764561352556,44,1. Get Flights,200,OK,100 Concurrent Users 1-39,text,true,,101995,189,1,1,http://localhost:5000/api/flights?limit=100,44,0,2
1764561352601,47,2. Get Hotels,200,OK,100 Concurrent Users 1-39,text,true,,97440,197,1,1,http://localhost:5000/api/hotels?limit=100,46,0,1
1764561352648,32,3. Get Cars,200,OK,100 Concurrent Users 1-39,text,true,,82328,195,2,2,http://localhost:5000/api/cars?limit=100,31,0,2
1764561352655,44,1. Get Flights,200,OK,100 Concurrent Users 1-40,text,true,,101995,189,1,1,http://localhost:5000/api/flights?limit=100,43,0,2
1764561352699,36,2. Get Hotels,200,OK,100 Concurrent Users 1-40,text,true,,97440,197,1,1,http://localhost:5000/api/hotels?limit=100,36,0,1
